Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total
1 st ST,AT,MC CADDEN PL,AUT,TUE,2013-02-05T00:00:00,TUE,364,763,0,0,1127
1 st ST,AT,ALAMEDA ST,AUTO,CR,2014-01-16T00:00:00,THU,6433,11669,0,0,18102
1 st ST,AT,MAIN ST,MIO,CR,2013-03-27T00:00:00,WED,9221,9811,0,0,19032
1 st ST,AT,SPRING ST,MIO,CR,2013-03-19T00:00:00,TUE,9365,9884,0,0,19249
1 st ST,AT,MAIN ST,MAN,CR,2011-11-08T00:00:00,TUE,11400,12497,,,23897
10 th AV,AT,48 th ST,AUTO,SR,2014-01-29T00:00:00,WED,0,0,285,358,643
10 th ST,AT,ALMA  ST,AUTO,SR,2013-06-17T00:00:00,MON,428,294,0,0,722
102 nd ST,AT,BROADWAY,MAN,SR,2011-11-09T00:00:00,WED,444,268,,,712
102 nd ST,AT,BROADWAY,AUTO,SR,2013-12-09T00:00:00,MON,579,326,0,0,905
103 rd ST,AT,PALOMA ST,AUTO,SR,2011-01-24T00:00:00,MON,3325,2817,,,6142
103 rd ST,AT,CLOVIS ST,AUTO,SR,2011-01-24T00:00:00,MON,3716,3496,,,7212
103 rd ST,AT,WEIGARD AV,AUTO,SR,2011-01-25T00:00:00,TUE,5887,3805,,,9692
103 rd ST,AT,LOU DILLON AV,AUTO,SR,2011-01-25T00:00:00,TUE,6457,4454,,,10911
103 rd ST,AT,COMPTON AV,AUT,THU,2013-01-31T00:00:00,THU,6165,6298,0,0,12463
103 rd ST,AT,BEACH ST,AUTO,SR,2011-01-25T00:00:00,TUE,7133,5360,,,12493
103 rd ST,AT,SUCCESS AV,MAN,SR,2013-01-10T00:00:00,THU,5786,7008,0,0,12794
103 rd ST,AT,FIRTH BL,AUTO,SR,2013-10-17T00:00:00,THU,6562,6400,0,0,12962
103 rd ST,AT,SUCCESS ST,AUTO,SR,2011-01-25T00:00:00,TUE,6557,9215,,,15772
103rd ST,AT,FIRTH BL,MAN,SR,2014-05-19T00:00:00,MON,3682,3614,0,0,7396
104 th ST,AT,CENTRAL AV,MAN,SR,2013-02-01T00:00:00,FRI,0,533,0,0,533
104 th ST,AT,DENVER AV,AUTO,SR,2013-10-29T00:00:00,TUE,283,281,0,0,564
104 th ST,AT,CENTRAL AV,MAN,WED,2013-01-30T00:00:00,WED,378,244,0,0,622
104 th ST,AT,WESTERN AV,MAN,SR,2013-06-12T00:00:00,WED,421,1711,0,0,2132
104 th ST,AT,WESTERN AV,MAN,SR,2013-06-12T00:00:00,WED,421,1711,0,0,2132
104 th ST,AT,WESTERN AV,AUT,SR,2013-05-01T00:00:00,WED,508,2163,0,0,2671
104 th ST,E/O,AVIATION BL,AUTO,WR,2011-09-27T00:00:00,TUES,1564,2044,,,3608
104 th ST,E/O,AVIATION BL,AUTO,WR,2011-09-27T00:00:00,TUES,1564,2044,,,3608
105 th ST,AT,COMPTON AV,AUTO,SR,2013-06-11T00:00:00,TUE,314,294,0,0,608
105 th ST,AT,COMPTON AV,AUTO,SR,2013-06-11T00:00:00,TUE,314,294,0,0,608
105 th ST,AT,CENTRAL AV,MAN,SR,2013-01-30T00:00:00,WED,378,244,0,0,622
105 th ST,AT,CENTRAL AV,MAN,SR,2011-03-31T00:00:00,THU,193,808,,,1001
105 th ST ,AT,CENTRAL AV,AUTO,SR,2011-06-10T00:00:00,FRI,884,3079,,,3963
11 th ST,AT,ALMA ST,AUTO,SR,2013-06-12T00:00:00,WED,412,250,0,0,662
11 th ST,AT,OXFORD AV,MAN,HW,2014-01-14T00:00:00,TUE,1673,1008,0,0,2681
11 th ST,AT,OXFORD AV,AUTO ,HW,2013-11-25T00:00:00,MON,2414,1357,0,0,3771
11 th ST,AT,OXFORD AV,AUTO,HW,2014-02-22T00:00:00,SAT,2152,1695,0,0,3847
111 th ST,AT,FIGUEROA ST,MAN,SR,2011-01-04T00:00:00,TUE,38,,,,38
112th ST,AT,WILMINGTON AV,AUTO,SR,2014-05-12T00:00:00,MON,909,777,0,0,1686
114 th ST,W/O ,CENTRAL AV   ,AUTO,SR,2011-09-27T00:00:00,TUE,403,558,,,961
114 thST,AT,CENTRAL AV,MAN,CR,2013-01-07T00:00:00,MON,240,263,0,0,503
118 th ST,AT,CENTRAL AV,AUTO,SR,2013-10-23T00:00:00,WED,1104,776,0,0,1880
118 th ST,AT,FIGUEROA ST,AUTO,CR,2011-06-14T00:00:00,TUE,3334,2622,,,5956
11th AV,AT,71st ST,AUTO,SR,2014-05-19T00:00:00,MON,0,0,1156,714,1870
12 th ST,AT,CLOVERDALE AV,MAN,HW,2013-06-13T00:00:00,THU,263,357,0,0,620
12 th ST,AT,ALMA ST,AUTO,SR,2013-06-17T00:00:00,MON,453,268,0,0,721
12 th ST,AT,LONGWOOD AV,MAN,CR,2011-04-19T00:00:00,TUE,442,374,,,816
13 th ST,AT,PACIFIC AV,MAN,SR,2012-10-25T00:00:00,THU,1347,2470,0,0,3817
130 th ST,AT,FIGUEROA ST,MAN,SR,2013-07-09T00:00:00,TUE,378,505,0,0,883
134 FWY OFF RAMP,AT,COLORADO BL,AUTO,CR,2013-07-10T00:00:00,WED,6305,0,0,0,6305
14 th ST,AT,UNION AV,MAN,CR,2013-01-07T00:00:00,MON,240,263,0,0,503
14 th ST,AT,PALOS VERDES ST,AUTO,SR,2011-06-09T00:00:00,THU,494,267,,,761
14 th ST,AT,UNION ST,AUTO,CR,2011-11-02T00:00:00,WED,,,468,1106,1574
15 th ST,E/O,LE GRANDE TER,AUTO,SR,2013-06-13T00:00:00,THU,71,76,0,0,147
157 th ST,AT,VERMONT AV,AUTO,SR,2014-04-09T00:00:00,WED,1277,1792,0,0,3069
168 th ST,AT,FIGUEROA ST,MAN,SR,2013-06-18T00:00:00,TUE,714,1191,0,0,1905
168 th ST,AT,FIGUEROA ST,AUT,SR,2013-04-04T00:00:00,THU,826,1774,0,0,2600
17 th ST,AT,WEST BL,MAN,HW,2013-10-03T00:00:00,THU,0,259,0,0,259
17 th ST,AT,4 th AV,AUTO,HW,2013-09-10T00:00:00,TUE,821,335,0,0,1156
17 th ST,AT,4 th AV,MAN,HW,2013-09-26T00:00:00,THU,827,383,0,0,1210
17 th ST,AT,3 rd AV,AUTO,HW,2014-03-04T00:00:00,TUE,954,432,0,0,1386
17 th ST,AT,PACIFIC AV,MAN,SR,2012-11-01T00:00:00,THU,1276,1755,0,0,3031
17th ST,AT,RIMPAU BL,AUTO,HW,2014-05-20T00:00:00,TUE,688,402,0,0,1090
18 th ST,E/O,CIMARRON ST,AUTO,HW,2014-04-10T00:00:00,THU,286,185,0,0,471
186 th ST,AT,CATALINA AV,AUTO,SR,2013-10-09T00:00:00,WED,808,1064,0,0,1872
186 th ST,E/O,WESTERN AV,AUTO,SR,2013-10-08T00:00:00,TUE,1371,527,0,0,1898
186 th ST,W/O,VERMONT AV,AUTO,SR,2013-10-09T00:00:00,WED,997,1122,0,0,2119
186 th ST,AT,WESTERN AV,MAN,SR,2013-04-24T00:00:00,WED,1920,613,0,0,2533
186 th ST,AT,NORMANDIE AV,AUTO,SR,2013-10-08T00:00:00,TUE,1643,1495,0,0,3138
186 th ST,AT,RAYMOND AV,AUTO,CR,2011-01-05T00:00:00,WED,2351,865,,,3216
186 th ST,AT,CATALINA AV,AUTO,CR,2011-01-05T00:00:00,WED,1446,2498,,,3944
186 th ST,AT,DALTON AV,AUTO ,SR,2013-10-08T00:00:00,TUE,1068,3437,0,0,4505
186 th ST,AT,WESTERN AV,AUTO,CR,2011-08-30T00:00:00,TUE,4431,3578,,,8009
1st ST,AT,ALAMEDA ST   ( early shift ),MAN,CR,2014-03-27T00:00:00,THU,6799,5619,0,0,12418
1st ST,AT,ALAMEDA ST   ( late shift ),MAN,CR,2014-03-09T00:00:00,WED,4912,9889,0,0,14801
1st ST ,BTWN,BROADWAY AND SPRING ST,AUTO,CR,2014-04-24T00:00:00,THU,11614,11514,0,0,23128
2 nd PL  overcross,E/O,FLOWER ST     ,AUTO,CR,2011-08-30T00:00:00,TUE,2815,3729,,,6544
2 nd ST,AT,BEACON ST,AUTO,SR,2014-02-12T00:00:00,WED,185,229,0,0,414
2 nd ST,AT,OXFORD AV,AUTO,HW,2013-11-07T00:00:00,THU,2239,3831,0,0,6070
2 nd ST,AT,ALAMEDA ST,AUTO,CR,2014-03-11T00:00:00,TUE,3336,5978,0,0,9314
2 nd ST,AT,CENTRAL AV,AUTO,CR,2014-03-11T00:00:00,TUE,4386,6401,0,0,10787
2 nd ST ,AT,MEYLER ST,AUT,SR,2013-04-16T00:00:00,TUE,878,649,0,0,1527
2 nd ST ,AT,HIGHLAND AV,MAN,HW,2013-04-04T00:00:00,THU,503,1032,0,0,6035
20 th ST,AT,HOOPER AV,AUTO,CR,2011-08-30T00:00:00,TUE,,,5013,2818,7831
21 st ST,AT,PACIFICA AV,MAN,SR,2014-03-25T00:00:00,TUE,529,244,0,0,773
21 st ST,AT,GAFFEY ST,AUTO,SR,2011-06-08T00:00:00,WED,339,689,,,1028
21 st ST,AT,3 rd AV,AUTO,SR,2011-11-21T00:00:00,MON,659,404,,,1063
214 th ST,AT,DENKER AV,AUTO,SR,2014-04-08T00:00:00,TUE,300,458,0,0,758
218 th ST,AT,HALLDALE AV,AUT,SR,2013-04-03T00:00:00,WED,360,478,0,0,838
218 th ST,AT,DENKER ST,AUT,SR,2013-04-03T00:00:00,WED,525,578,0,0,1103
22 nd ST,AT,UNION AV,MAN,SR,2013-01-17T00:00:00,THU,456,294,0,0,750
23 rd ST,AT,UNION AV,AUTO,SR,2011-06-09T00:00:00,THU,824,1519,,,2343
23 rd ST,AT,GRAND AV,AUTO,SR,2011-01-06T00:00:00,THU,3853,7871,,,11724
23 rd ST,AT,MAIN ST,AUTO,SR,2011-09-29T00:00:00,THU,3594,9204,,,12798
23 rd ST,AT,OAK ST,AUTO,SR,2011-11-07T00:00:00,MON,7255,7699,,,14954
23 rd ST,AT,ESTRELLA ST,AUTO,SR,2011-09-29T00:00:00,THU,10750,10408,,,21158
24 th ST,AT,WALKER AV,AUTO,SR,2011-10-26T00:00:00,WED,218,458,,,676
24 th ST,AT,NORMANDIE AV,MAN,SR,2013-01-17T00:00:00,THU,456,294,0,0,750
24 th ST,AT,ARLINGTON AV,MAN,HW,2013-10-09T00:00:00,WED,432,407,0,0,839
24 th ST,AT,WESTERN AV,MAN,HW,2014-02-06T00:00:00,THU,0,971,0,0,971
24 th ST,AT,ARLINGTON AV,AUTO,HW,2013-08-29T00:00:00,THU,707,742,0,0,1449
24 th ST,W/O,WESTERN AV,AUTO,CR,2014-02-03T00:00:00,MON,1629,1137,0,0,2766
24 th ST,AT,CABRILLO AV,MAN,CR,2011-05-23T00:00:00,MON,13322,17296,,,30618
24 th ST,AT,NORMANDIE AV,AUTO,HW,2011-06-16T00:00:00,THU,20589,12272,,,32861
240 th ST,AT,WESTERN AV,AUTO,SR,2013-11-12T00:00:00,TUE,1812,2087,0,0,3899
24th ST,AT,WALKER AV,AUTO,SR,2014-05-21T00:00:00,WED,638,486,0,0,1124
25 th ST,AT,GRIFFITH AV,MAN,CR,2013-05-14T00:00:00,TUE,357,385,0,0,742
25 th ST,E/O,WESTERN AV,AUTO,SR,2011-10-26T00:00:00,WED,,,471,353,824
25 th ST,AT,WHITES POINT DR,AUTO,SR,2011-07-11T00:00:00,MON,681,697,,,1378
25 th ST,AT,WHITE POINTS DR / MALL DRIVEWAY,MAN,SR,2013-10-29T00:00:00,TUE,8507,7922,0,0,16429
25 th ST,W/O,GAFFEY ST,MAN,CR,2011-06-22T00:00:00,WED,15176,10949,,,25888
253 rd ST,AT,FRAMPTON AV,AUTO,SR,2011-07-11T00:00:00,MON,424,432,,,856
257 th ST,AT,NORMANDIE AV,AUTO,SR,2014-01-08T00:00:00,WED,293,1824,0,0,2117
26 th ST,AT,PATTON AV,AUTO,SR,2014-01-14T00:00:00,TUE,551,564,0,0,1115
26th ST,AT,LELAND AV,AUTO ,SR,2014-05-15T00:00:00,THU,442,39,0,0,481
27 th ST,AT,BARBARA ST,AUT,SR,2013-04-07T00:00:00,SUN,432,289,0,0,721
27 th ST,AT,BARBARA ST,AUT,SR,2013-04-06T00:00:00,SAT,553,337,0,0,890
27 th ST,AT,PATTON AV,AUT,SR,2014-01-14T00:00:00,TUE,369,538,0,0,907
27 th ST,AT,BARBARA ST,AUT,SR,2013-04-05T00:00:00,FRI,615,445,0,0,1060
27th ST,AT,LELAND AV,AUTO,SR,2014-05-15T00:00:00,THU,944,787,0,0,1731
2nd ST,BTWN,HILL ST AND BROADWAY,AUTO,CR,2014-05-01T00:00:00,THU,6177,8084,0,0,14261
2nd ST ,BTWN,BROADWAY AND SPRING ST,AUTO,CR,2014-05-01T00:00:00,THU,5814,8335,0,0,14149
3 rd AV,AT,17 th ST,AUTO,HW,2014-03-04T00:00:00,TUE,0,0,1052,727,1779
3 rd ST,AT,COLUMBIA AV,AUTO,SR,2013-02-12T00:00:00,TUE,508,353,0,0,861
3 rd ST,AT,BERENDO ST,MAN,HW,2013-12-11T00:00:00,WED,0,0,693,435,1128
3 rd ST,AT,HILL ST,MAN,HW,2011-06-29T00:00:00,WED,783,362,,,1144
3 rd ST,AT,MAIN ST,MAN,CR,2011-06-17T00:00:00,FRI,552,623,,,1175
3 rd ST,AT ,LA JOLLA AV,MAN,CR,2011-06-14T00:00:00,TUE,858,400,,,1257
